State,SourceName,TableType,AgencyFull,ListOfYears,MinYear,MaxYear,Label
Arizona,Chandler,ARRESTS,Chandler Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Chandler, Arizona, ARRESTS"
Arizona,Chandler,CALLS FOR SERVICE,Chandler Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Chandler, Arizona, CALLS FOR SERVICE"
Arizona,Chandler,INCIDENTS,Chandler Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Chandler, Arizona, INCIDENTS"
Arizona,Gilbert,CALLS FOR SERVICE,Gilbert Police Department,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2006,2025,"Gilbert, Arizona, CALLS FOR SERVICE"
Arizona,Mesa,CALLS FOR SERVICE,Mesa Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Mesa, Arizona, CALLS FOR SERVICE"
Arizona,Mesa,INCIDENTS,Mesa Police Department,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2016,2025,"Mesa, Arizona, INCIDENTS"
Arizona,Phoenix,ARRESTS,Phoenix Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Phoenix, Arizona, ARRESTS"
Arizona,Phoenix,CALLS FOR SERVICE,Phoenix Police Department,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2016,2025,"Phoenix, Arizona, CALLS FOR SERVICE"
Arizona,Phoenix,EMPLOYEE,Phoenix Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Phoenix, Arizona, EMPLOYEE"
Arizona,Phoenix,INCIDENTS,Phoenix Police Department,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2015,2025,"Phoenix, Arizona, INCIDENTS"
Arizona,Phoenix,OFFICER-INVOLVED SHOOTINGS,Phoenix Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Phoenix, Arizona, OFFICER-INVOLVED SHOOTINGS"
Arizona,Phoenix,POINTING WEAPON,Phoenix Police Department,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2012,2025,"Phoenix, Arizona, POINTING WEAPON"
Arizona,Phoenix,TRAFFIC CITATIONS,Phoenix Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Phoenix, Arizona, TRAFFIC CITATIONS"
Arizona,Phoenix,USE OF FORCE,Phoenix Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Phoenix, Arizona, USE OF FORCE"
Arizona,Tucson,ARRESTS,Tucson Police Department,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2009,2025,"Tucson, Arizona, ARRESTS"
Arizona,Tucson,CALLS FOR SERVICE,Tucson Police Department,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2012,2022,"Tucson, Arizona, CALLS FOR SERVICE"
Arizona,Tucson,CRASHES,Tucson Police Department,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2011,2024,"Tucson, Arizona, CRASHES"
Arizona,Tucson,INCIDENTS,Tucson Police Department,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2009,2025,"Tucson, Arizona, INCIDENTS"
Arizona,Tucson,OFFICER-INVOLVED SHOOTINGS,Tucson Police Department,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2010,2018,"Tucson, Arizona, OFFICER-INVOLVED SHOOTINGS"
Arizona,Tucson,TRAFFIC CITATIONS,Tucson Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Tucson, Arizona, TRAFFIC CITATIONS"
