SourceName,State,TableType,AgencyFull,ListOfYears,MinYear,MaxYear,Label
Chandler,Arizona,ARRESTS,Chandler Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Chandler, Arizona, ARRESTS"
Chandler,Arizona,CALLS FOR SERVICE,Chandler Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Chandler, Arizona, CALLS FOR SERVICE"
Chandler,Arizona,INCIDENTS,Chandler Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Chandler, Arizona, INCIDENTS"
Gilbert,Arizona,CALLS FOR SERVICE,Gilbert Police Department,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2006,2025,"Gilbert, Arizona, CALLS FOR SERVICE"
Mesa,Arizona,CALLS FOR SERVICE,Mesa Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Mesa, Arizona, CALLS FOR SERVICE"
Mesa,Arizona,INCIDENTS,Mesa Police Department,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2016,2025,"Mesa, Arizona, INCIDENTS"
Phoenix,Arizona,ARRESTS,Phoenix Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Phoenix, Arizona, ARRESTS"
Phoenix,Arizona,CALLS FOR SERVICE,Phoenix Police Department,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2016,2025,"Phoenix, Arizona, CALLS FOR SERVICE"
Phoenix,Arizona,EMPLOYEE,Phoenix Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Phoenix, Arizona, EMPLOYEE"
Phoenix,Arizona,INCIDENTS,Phoenix Police Department,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2015,2025,"Phoenix, Arizona, INCIDENTS"
Phoenix,Arizona,OFFICER-INVOLVED SHOOTINGS,Phoenix Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Phoenix, Arizona, OFFICER-INVOLVED SHOOTINGS"
Phoenix,Arizona,POINTING WEAPON,Phoenix Police Department,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2012,2025,"Phoenix, Arizona, POINTING WEAPON"
Phoenix,Arizona,TRAFFIC CITATIONS,Phoenix Police Department,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,2025,"Phoenix, Arizona, TRAFFIC CITATIONS"
Phoenix,Arizona,USE OF FORCE,Phoenix Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Phoenix, Arizona, USE OF FORCE"
Tucson,Arizona,ARRESTS,Tucson Police Department,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2009,2025,"Tucson, Arizona, ARRESTS"
Tucson,Arizona,CALLS FOR SERVICE,Tucson Police Department,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2012,2022,"Tucson, Arizona, CALLS FOR SERVICE"
Tucson,Arizona,CRASHES,Tucson Police Department,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2011,2024,"Tucson, Arizona, CRASHES"
Tucson,Arizona,INCIDENTS,Tucson Police Department,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2009,2025,"Tucson, Arizona, INCIDENTS"
Tucson,Arizona,OFFICER-INVOLVED SHOOTINGS,Tucson Police Department,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2010,2018,"Tucson, Arizona, OFFICER-INVOLVED SHOOTINGS"
Tucson,Arizona,TRAFFIC CITATIONS,Tucson Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2025,"Tucson, Arizona, TRAFFIC CITATIONS"
Little Rock,Arkansas,CALLS FOR SERVICE,Little Rock Police Department,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,"Little Rock, Arkansas, CALLS FOR SERVICE"
Long Beach,California,INCIDENTS,Long Beach Police Department,"[2023, 2024, 2025]",2023,2025,"Long Beach, California, INCIDENTS"
Los Angeles,California,ARRESTS,Los Angeles Police Department,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2010,2025,"Los Angeles, California, ARRESTS"
Los Angeles,California,CALLS FOR SERVICE,Los Angeles Police Department,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2010,2025,"Los Angeles, California, CALLS FOR SERVICE"
