State,SourceName,TableType,AgencyFull,ListOfYears,MinYear,MaxYear,Label
Arizona,Tucson,CALLS FOR SERVICE,Tucson Police Department,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2012,2022,"Tucson, Arizona, CALLS FOR SERVICE"
Arizona,Tucson,OFFICER-INVOLVED SHOOTINGS,Tucson Police Department,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2010,2018,"Tucson, Arizona, OFFICER-INVOLVED SHOOTINGS"
California,Alameda County,INCIDENTS,Alameda County Sheriff's Office,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2012,2022,"Alameda County, California, INCIDENTS"
California,Santa Rosa,CALLS FOR SERVICE,Santa Rosa Police Department,"[2014, 2015, 2016, 2017, 2018, 2019, 2020]",2014,2020,"Santa Rosa, California, CALLS FOR SERVICE"
California,Santa Rosa,COMPLAINTS,Santa Rosa Police Department,"[2015, 2016, 2017, 2018, 2019, 2020]",2015,2020,"Santa Rosa, California, COMPLAINTS"
California,Santa Rosa,INCIDENTS,Santa Rosa Police Department,"[2014, 2015, 2016, 2017, 2018, 2019, 2020]",2014,2020,"Santa Rosa, California, INCIDENTS"
California,Santa Rosa,USE OF FORCE,Santa Rosa Police Department,"[2018, 2019, 2020]",2018,2020,"Santa Rosa, California, USE OF FORCE"
Colorado,Boulder,ARRESTS,Boulder Police Department,"[2020, 2021, 2022, 2023]",2020,2023,"Boulder, Colorado, ARRESTS"
Colorado,Denver,OFFICER-INVOLVED SHOOTINGS,Denver Police Department,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2015,2022,"Denver, Colorado, OFFICER-INVOLVED SHOOTINGS"
Connecticut,Norwich,USE OF FORCE,Norwich Police Department,"[2017, 2018, 2019]",2017,2019,"Norwich, Connecticut, USE OF FORCE"
Florida,Fort Lauderdale,ARRESTS,Fort Lauderdale Police Department,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2014,2022,"Fort Lauderdale, Florida, ARRESTS"
Florida,Fort Lauderdale,CALLS FOR SERVICE,Fort Lauderdale Police Department,"[2017, 2018, 2019, 2020, 2021, 2022, 2023]",2017,2023,"Fort Lauderdale, Florida, CALLS FOR SERVICE"
Florida,Fort Lauderdale,CRASHES,Fort Lauderdale Police Department,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2012,2022,"Fort Lauderdale, Florida, CRASHES"
Florida,Fort Lauderdale,INCIDENTS,Fort Lauderdale Police Department,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2014,2022,"Fort Lauderdale, Florida, INCIDENTS"
Florida,Fort Lauderdale,TRAFFIC CITATIONS,Fort Lauderdale Police Department,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2002,2022,"Fort Lauderdale, Florida, TRAFFIC CITATIONS"
Illinois,Evanston,ARRESTS,Evanston Police Department,"[2016, 2017, 2018, 2019, 2020, 2021]",2016,2021,"Evanston, Illinois, ARRESTS"
Illinois,Evanston,CALLS FOR SERVICE,Evanston Police Department,"[2016, 2017, 2018, 2019, 2020, 2021]",2016,2021,"Evanston, Illinois, CALLS FOR SERVICE"
Illinois,Evanston,CITATIONS,Evanston Police Department,"[2016, 2017, 2018, 2019, 2020, 2021]",2016,2021,"Evanston, Illinois, CITATIONS"
Illinois,Evanston,CRASHES,Evanston Police Department,"[2016, 2017, 2018, 2019, 2020, 2021]",2016,2021,"Evanston, Illinois, CRASHES"
Illinois,Evanston,USE OF FORCE,Evanston Police Department,"[2018, 2019, 2020, 2021, 2022, 2023]",2018,2023,"Evanston, Illinois, USE OF FORCE"
Illinois,Urbana,ARRESTS,Urbana Police Department,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",1990,2023,"Urbana, Illinois, ARRESTS"
Illinois,Urbana,INCIDENTS,Urbana Police Department,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",1990,2023,"Urbana, Illinois, INCIDENTS"
